system:index,Supf_km2,burned_pixels,fna,nam,year,.geo
7_00000000000000000005,101486,1281.6235294117648,Provincia de Catamarca,Catamarca,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000006,22599,6612.803921568626,Provincia de Tucumán,Tucumán,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000007,99778,19243.941176470595,Provincia del Chaco,Chaco,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000008,75476,17037.070588235292,Provincia de Formosa,Formosa,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000009,244386,252.39999999999998,Provincia de Santa Cruz,Santa Cruz,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000a,224378,272.7686274509804,Provincia del Chubut,Chubut,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000b,149089,1031.6509803921572,Provincia de Mendoza,Mendoza,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000c,78389,658.1529411764706,Provincia de Entre Ríos,Entre Ríos,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000d,88371,34.07450980392157,Provincia de San Juan,San Juan,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000e,53240,2426.101960784314,Provincia de Jujuy,Jujuy,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000000f,136990,41716.8588235294,Provincia de Santiago del Estero,Santiago del Estero,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000010,202225,657.6039215686275,Provincia de Río Negro,Río Negro,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000011,89125,14973.941176470586,Provincia de Corrientes,Corrientes,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000012,29907,66.05490196078432,Provincia de Misiones,Misiones,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000013,155369,11643.298039215686,Provincia de Salta,Salta,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000014,164670,2639.176470588235,Provincia de Córdoba,Córdoba,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000015,306127,1845.0,Provincia de Buenos Aires,Buenos Aires,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000016,143211,971.1647058823529,Provincia de La Pampa,La Pampa,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
